,DCA License Number,License Type,License Expiration Date,License Status,License Creation Date,Industry,Business Name,Business Name 2,Address Building,Address Street Name,Secondary Address Street Name,Address City,Address State,Address ZIP,Contact Phone Number,Address Borough,Borough Code,Community Board,Council District,BIN,BBL,NTA,Census Tract,Detail,Longitude,Latitude,Location,year,age
1019,2066373-1-DCA,Business,12/31/2023,Active,02/20/2018,Tobacco Retail Dealer,1517 DELI & DISCOUNT INC,,1519,WESTCHESTER AVE,,BRONX,NY,10472,646-204-9775,Bronx,2.0,209.0,17.0,2025103.0,2037720001.0,BX08,54.0,,-73.87931169610995,40.8285792407057,"(40.8285792407057, -73.87931169610995)",2018,6
1020,1202087-DCA,Business,12/31/2023,Active,06/27/2005,Tobacco Retail Dealer,S.T. YASSINE CORP.,,941,ATLANTIC AVE,,BROOKLYN,NY,11238,732-254-5570,Brooklyn,3.0,302.0,35.0,3057818.0,3020180046.0,BK69,201.0,,-73.96163494434239,40.68053504084938,"(40.68053504084938, -73.96163494434239)",2005,19
1021,2066376-1-DCA,Business,12/31/2023,Active,02/20/2018,Tobacco Retail Dealer,FREEDOM NEWS INC,FREEDOM NEWS,90,BROAD ST,,NEW YORK,NY,10004,516-395-8111,Manhattan,1.0,101.0,1.0,1000025.0,1000100016.0,MN25,9.0,,-74.0115918242526,40.703953732789486,"(40.703953732789486, -74.0115918242526)",2018,6
1022,1280991-DCA,Business,12/31/2023,Active,04/03/2008,Tobacco Retail Dealer,"HAMILTON GAS & CONVENIENCE, INC.",,327,HAMILTON AVE,,BROOKLYN,NY,11231,347-834-2769,Brooklyn,3.0,306.0,39.0,3005690.0,3003820001.0,BK33,65.0,,-74.00039656176264,40.67512599714525,"(40.67512599714525, -74.00039656176264)",2008,16
1023,2015143-1-DCA,Business,12/31/2023,Active,10/31/2014,Tobacco Retail Dealer,BAYSIDE SERVICES INC.,,20412,NORTHERN BLVD,,BAYSIDE,NY,11361,7182242218,Queens,4.0,411.0,19.0,4156611.0,4073010011.0,QN46,1463.0,,-73.77902486869161,40.75777836734201,"(40.75777836734201, -73.77902486869161)",2014,10
1024,1271975-DCA,Business,12/31/2023,Active,11/02/2007,Tobacco Retail Dealer,THE STOP & SHOP SUPERMARKET COMPANY LLC,STOP & SHOP #508,6445,MYRTLE AVE,,GLENDALE,NY,11385,718-835-7900,Queens,4.0,405.0,30.0,4089243.0,4036750010.0,QN19,577.0,,-73.89074428016792,40.70111926991804,"(40.70111926991804, -73.89074428016792)",2007,17
1025,2097070-1-DCA,Business,12/31/2023,Active,11/30/2020,Tobacco Retail Dealer,111 GOURMET DELI CORP,,1665,MADISON AVE,,NEW YORK,NY,10029,9178929273,Manhattan,1.0,111.0,8.0,1051622.0,1016160050.0,,,,-73.94730189058915,40.79660768255262,"(40.79660768255262, -73.94730189058915)",2020,4
1026,1052649-DCA,Business,12/31/2023,Active,11/20/2000,Tobacco Retail Dealer,"SALEH, HUSSEIN A Y",PUBLIC GROCERY & CANDY STORE,399,KINGS HWY,,BROOKLYN,NY,11223,718-998-0344,Brooklyn,3.0,311.0,44.0,3177012.0,3066540030.0,BK29,412.0,,-73.97537073575997,40.60455217034114,"(40.60455217034114, -73.97537073575997)",2000,24
1027,2033854-1-DCA,Business,12/31/2023,Active,03/01/2016,Tobacco Retail Dealer,SAM'S GRILL INC,,8010,JAMAICA AVE,,WOODHAVEN,NY,11421,718-296-0324,Queens,4.0,409.0,32.0,4183699.0,4089190001.0,,,,-73.86174836440303,40.69219503595526,"(40.69219503595526, -73.86174836440303)",2016,8
1028,1350015-DCA,Business,12/31/2023,Active,04/13/2010,Tobacco Retail Dealer,DARBAR DELI & GROCERY INC.,,13853,QUEENS BLVD,,JAMAICA,NY,11435,718-262-0310,Queens,4.0,408.0,24.0,4314907.0,4096460025.0,QN35,214.0,,-73.81752874896169,40.70756727358752,"(40.707567273587514, -73.81752874896169)",2010,14
1029,2037684-1-DCA,Business,12/31/2023,Active,05/17/2016,Tobacco Retail Dealer,"FAMILY DOLLAR STORES OF NEW YORK, INC.",FAMILY DOLLAR #11760,40,PROSPECT ST,,STATEN ISLAND,NY,10304,7573215000,Staten Island,5.0,501.0,49.0,5164260.0,5004910011.0,SI37,21.0,,-74.07590304571677,40.62859060798984,"(40.628590607989835, -74.07590304571677)",2016,8
1030,2047057-1-DCA,Business,12/31/2023,Active,01/05/2017,Tobacco Retail Dealer,NEW WAY MINI MARKET INC,,696,5TH AVE,,BROOKLYN,NY,11215,,Brooklyn,3.0,307.0,38.0,3009342.0,3006430038.0,BK32,145.0,,-73.99363471431444,40.66115765096546,"(40.661157650965464, -73.99363471431444)",2017,7
1031,2095394-1-DCA,Business,12/31/2023,Active,03/16/2020,Tobacco Retail Dealer,FAST N FRESH SUPER MARKET CORP,,8602,ROCKAWAY BEACH BLVD,,ROCKAWAY BEACH,NY,11693,7183181042,Queens,4.0,414.0,32.0,4303419.0,4161200079.0,,,,-73.8114047759482,40.5875552056168,"(40.5875552056168, -73.8114047759482)",2020,4
1032,2007604-1613-DCA,Business,12/31/2023,Active,05/06/2014,Tobacco Retail Dealer,MARUTI 149 CORP,,14921,41ST AVE,,FLUSHING,NY,11355,917-577-5493,Queens,4.0,407.0,20.0,4113993.0,4050290001.0,QN51,1167.0,,-73.81521302609164,40.76225565785602,"(40.762255657856024, -73.81521302609164)",2014,10
1033,2077754-1-DCA,Business,12/31/2023,Active,08/31/2018,Tobacco Retail Dealer,ROSIE'S SANDWICH SHOP DELI & GRILL INC,,4720,31ST AVE,,ASTORIA,NY,11103,9292575577,Queens,4.0,401.0,26.0,4013237.0,4007270042.0,QN70,153.0,,-73.91125739332278,40.75857369315728,"(40.75857369315728, -73.91125739332278)",2018,6
1034,2014774-1-DCA,Business,12/31/2023,Active,10/21/2014,Tobacco Retail Dealer,BEST EMMONS BAGEL INC.,,2253,EMMONS AVE,,BROOKLYN,NY,11235,917-670-0956,Brooklyn,3.0,315.0,48.0,3342943.0,3087830064.0,BK17,608.0,,-73.944719367196,40.58369201784571,"(40.58369201784571, -73.944719367196)",2014,10
1035,2047689-1-DCA,Business,12/31/2023,Active,01/25/2017,Tobacco Retail Dealer,LA MELLIZA MINI MARKET INC.,,19102,120TH AVE,,SAINT ALBANS,NY,11412,718-977-9560,Queens,4.0,412.0,27.0,4273106.0,4126700001.0,QN08,394.0,,-73.75823239376035,40.68750621637582,"(40.68750621637582, -73.75823239376035)",2017,7
1036,2066544-1-DCA,Business,12/31/2023,Active,02/22/2018,Tobacco Retail Dealer,LALU GROCERY 594 NY INC,,594,COLUMBUS AVE,,NEW YORK,NY,10024,212-877-1829,Manhattan,1.0,107.0,6.0,1032320.0,1012197501.0,MN12,173.0,,-73.97090430409845,40.78824188444808,"(40.788241884448084, -73.97090430409845)",2018,6
1037,1048059-DCA,Business,12/31/2023,Active,10/23/2000,Tobacco Retail Dealer,"LOPEZ, PAULA",MILLY'S MINI MARKET,104,S 2ND ST,,BROOKLYN,NY,11211,718-782-9358,Brooklyn,3.0,301.0,34.0,3321290.0,3024170006.0,BK73,551.0,,-73.96337614712876,40.713733571580086,"(40.713733571580086, -73.96337614712876)",2000,24
1038,1044019-DCA,Business,12/31/2023,Active,01/04/2001,Tobacco Retail Dealer,SYRENA GROCERY INC.,,6101,56TH RD,,MASPETH,NY,11378,718-326-3831,Queens,4.0,405.0,30.0,4060508.0,4027090035.0,QN30,517.0,,-73.9039863707388,40.72437373444448,"(40.724373734444484, -73.9039863707388)",2001,23
1039,2065095-1-DCA,Business,12/31/2023,Active,01/18/2018,Tobacco Retail Dealer,"HARRY'S HABANA HUT, INC.",,21409,41ST AVE,,BAYSIDE,NY,11361,646-287-3099,Queens,4.0,411.0,19.0,4438269.0,4062880001.0,QN46,1123.0,,-73.7706556289551,40.76366048306024,"(40.76366048306024, -73.7706556289551)",2018,6
1040,2044479-1-DCA,Business,12/31/2023,Active,10/06/2016,Tobacco Retail Dealer,SMOKE N CLOUDS INC,,63,PEARL ST,,BROOKLYN,NY,11201,347-689-3313,Brooklyn,3.0,302.0,33.0,3000090.0,3000400001.0,BK38,21.0,,-73.9875896511449,40.70294082911219,"(40.70294082911219, -73.9875896511449)",2016,8
1041,1420717-DCA,Business,12/31/2023,Active,03/07/2012,Tobacco Retail Dealer,THT INTERNATIONAL CORPORATION,Joyfoods,13432A,35TH AVE,,FLUSHING,NY,11354,718-358-2060,Queens,4.0,407.0,20.0,4308791.0,4049580025.0,QN22,869.0,,-73.83275187478766,40.7642175015663,"(40.7642175015663, -73.83275187478766)",2012,12
1042,2011065-1-DCA,Business,12/31/2023,Active,07/23/2014,Tobacco Retail Dealer,MAEEN AL QASERI,ROCKAWAY DELI GROCERY,10702,ROCKAWAY BLVD,,OZONE PARK,NY,11417,347-545-8108,Queens,4.0,410.0,32.0,4247860.0,4114820033.0,QN55,864.0,,-73.83194334810273,40.67833816640912,"(40.67833816640912, -73.83194334810273)",2014,10
1043,2043895-1-DCA,Business,12/31/2023,Active,09/20/2016,Tobacco Retail Dealer,450 9TH DELI CORP,H-YARD GOURMET DELI,450,9TH AVE,,NEW YORK,NY,10018,2128377896,Manhattan,1.0,104.0,3.0,1082258.0,1007590001.0,MN13,111.0,,-73.99573731800591,40.754147584353,"(40.754147584353, -73.99573731800591)",2016,8
1044,1378601-DCA,Business,12/31/2023,Active,12/09/2010,Tobacco Retail Dealer,ABDOU KINGS DELI INC.,,2407,FREDERICK DOUGLASS BLVD,,NEW YORK,NY,10027,917-434-8787,Manhattan,1.0,110.0,9.0,1059403.0,1019550017.0,MN03,215.0,,-73.94936640719581,40.81265152772177,"(40.81265152772177, -73.94936640719581)",2010,14
1045,2077264-1-DCA,Business,12/31/2023,Active,08/21/2018,Tobacco Retail Dealer,BHAKTI 70 INC,AUSTIN STOP & GO CONVENIENCE,7009,AUSTIN ST,,FOREST HILLS,NY,11375,718-575-9070,Queens,4.0,406.0,29.0,4077481.0,4032380033.0,QN17,711.0,,-73.84658762035123,40.72082845977548,"(40.720828459775475, -73.84658762035123)",2018,6
1046,1420299-DCA,Business,12/31/2023,Active,03/01/2012,Tobacco Retail Dealer,STEVE CHU'S DELI & GROCERY INC,,3406,10TH ST,,ASTORIA,NY,11106,718-726-8888,Queens,4.0,401.0,26.0,4003862.0,4003240031.0,QN68,39.0,,-73.93882580238908,40.76457791754841,"(40.76457791754841, -73.93882580238908)",2012,12
1047,2066147-1-DCA,Business,12/31/2023,Active,02/15/2018,Tobacco Retail Dealer,LA PALOMA CANDY & GROCERY INC,,1862,LEXINGTON AVE,,NEW YORK,NY,10029,347-479-9811,Manhattan,1.0,111.0,8.0,1052237.0,1016430017.0,MN34,182.0,,-73.94190459373782,40.79825467054183,"(40.79825467054183, -73.94190459373782)",2018,6
1048,2016635-1-DCA,Business,12/31/2023,Active,12/18/2014,Tobacco Retail Dealer,"FAMILY DOLLAR STORES OF NEW YORK, INC. # 11160","FAMILY DOLLAR STORES OF NEW YORK, INC.",294,MACDOUGAL ST,,BROOKLYN,NY,11233,7573215000,Brooklyn,3.0,316.0,37.0,3330856.0,3015350001.0,BK79,369.0,,-73.90850934293071,40.68055446912575,"(40.680554469125745, -73.90850934293071)",2014,10
1049,2080262-1-DCA,Business,12/31/2023,Active,11/28/2018,Tobacco Retail Dealer,K & K DELI & GROCERIES INC.,,1150,HYLAN BLVD,,STATEN ISLAND,NY,10305,718-974-4827,Staten Island,5.0,502.0,50.0,5047548.0,5032370049.0,SI14,64.0,,-74.08114438683968,40.59860288999529,"(40.59860288999529, -74.08114438683968)",2018,6
1050,1452401-DCA,Business,12/31/2023,Active,12/18/2012,Tobacco Retail Dealer,WOODSIDE DELI INC,,3845,WOODSIDE AVE,,WOODSIDE,NY,11377,718-533-0153,Queens,4.0,402.0,26.0,4027569.0,4012070015.0,QN63,255.0,,-73.90976081652562,40.74953407694738,"(40.749534076947384, -73.90976081652562)",2012,12
1051,2005714-1325-DCA,Business,12/31/2023,Active,04/04/2014,Tobacco Retail Dealer,MUKTI 1360 PETROLEUM INC,,1360,BRUCKNER BLVD,,BRONX,NY,10459,718-736-0400,Bronx,2.0,202.0,17.0,2006313.0,2027590042.0,BX27,11502.0,,-73.8856565692414,40.822445772353376,"(40.822445772353376, -73.8856565692414)",2014,10
1052,1117539-DCA,Business,12/31/2023,Active,07/26/2002,Tobacco Retail Dealer,"INFANTE, SUSANA",NEW GROCERY & DELI,175,GRAND ST,,BROOKLYN,NY,11211,718-387-9798,Brooklyn,3.0,301.0,34.0,3062647.0,3023810035.0,BK73,553.0,,-73.96100943882385,40.7143970266231,"(40.7143970266231, -73.96100943882385)",2002,22
1053,1067532-DCA,Business,12/31/2024,Active,12/05/2000,Tobacco Retail Dealer,"SHAH, SUREKHA P.",,N/W/C,BROADWAY,WEST   74 STREET,NEW YORK,NY,10023,2123004250,Manhattan,1.0,107.0,6.0,,,,,,-73.9815199245466,40.78028160288897,"(40.78028160288897, -73.9815199245466)",2000,24
1054,2095548-1-DCA,Business,12/31/2023,Active,03/25/2020,Tobacco Retail Dealer,1414 CASTLETON CORP,,1414,CASTLETON AVE,,STATEN ISLAND,NY,10302,7188155690,Staten Island,5.0,501.0,49.0,5106981.0,5010260047.0,,,,-74.12992335830246,40.633828722669726,"(40.633828722669726, -74.12992335830246)",2020,4
1055,2004856-1199-DCA,Business,12/31/2023,Active,03/17/2014,Tobacco Retail Dealer,"GOLD CITY SUPERMARKET, INC.",,4631,KISSENA BLVD,,FLUSHING,NY,11355,718-762-7688,Queens,4.0,407.0,20.0,4117616.0,4052080045.0,QN52,1205.0,,-73.81842312590001,40.749986234933225,"(40.749986234933225, -73.81842312590001)",2014,10
1056,1216917-DCA,Business,12/31/2023,Active,01/04/2006,Tobacco Retail Dealer,NIDA'S GROCERY STORE INC.,,1501,8TH AVE,,BROOKLYN,NY,11215,718-369-0542,Brooklyn,3.0,307.0,39.0,3026688.0,3011050010.0,BK40,169.0,,-73.98229518700367,40.66204577305167,"(40.662045773051666, -73.98229518700367)",2006,18
1057,2066561-1-DCA,Business,12/31/2023,Active,02/22/2018,Tobacco Retail Dealer,ASAAD DELI & GRILL CORP,,111,CHURCH AVE,,BROOKLYN,NY,11218,718-844-9975,Brooklyn,3.0,312.0,39.0,3124534.0,3053340060.0,BK41,496.0,,-73.9790860483024,40.64295252951141,"(40.64295252951141, -73.9790860483024)",2018,6
1058,1422157-DCA,Business,12/31/2023,Active,03/21/2012,Tobacco Retail Dealer,89-31 FOOD CORP.,,8931,161ST ST,,JAMAICA,NY,11432,718-523-3006,Queens,4.0,412.0,24.0,4208869.0,4097600027.0,QN61,44601.0,,-73.79975148695797,40.70603358602212,"(40.706033586022116, -73.79975148695797)",2012,12
1059,2003876-1035-DCA,Business,12/31/2023,Active,02/25/2014,Tobacco Retail Dealer,DELI GROCERY MONTEFU CORP,,215,E GUN HILL RD,,BRONX,NY,10467,718-854-8375,Bronx,2.0,207.0,11.0,2018266.0,2033440036.0,BX43,431.0,,-73.87711292596249,40.88042713278525,"(40.88042713278525, -73.87711292596249)",2014,10
1060,1417253-DCA,Business,12/31/2023,Active,01/18/2012,Tobacco Retail Dealer,420 MADISON FOOD CORP.,,420,MADISON AVE,,NEW YORK,NY,10017,2123086140,Manhattan,1.0,105.0,4.0,1035438.0,1012840017.0,MN17,94.0,,-73.97632869653538,40.75686527394669,"(40.75686527394669, -73.97632869653538)",2012,12
1061,2041806-1-DCA,Business,12/31/2023,Active,08/02/2016,Tobacco Retail Dealer,"TIRU, LLC",,787,7TH AVE,,NEW YORK,NY,10019,212-489-7003,Manhattan,1.0,105.0,4.0,1023157.0,1010040020.0,MN17,131.0,,-73.9826223906044,40.76195515064599,"(40.76195515064599, -73.9826223906044)",2016,8
1062,2042340-1-DCA,Business,12/31/2023,Active,08/12/2016,Tobacco Retail Dealer,WORLD FAMOUS DELI CORP,,475,BERGEN ST,,BROOKLYN,NY,11217,917-541-1095,Brooklyn,3.0,306.0,35.0,3027807.0,3011350034.0,BK37,12902.0,,-73.97477652479554,40.68080217034088,"(40.680802170340876, -73.97477652479554)",2016,8
1063,1054289-DCA,Business,12/31/2023,Active,12/28/2000,Tobacco Retail Dealer,"FUMEE, INC.",CIRCA TABAC,32,WATTS ST,,NEW YORK,NY,10013,212-941-1781,Manhattan,1.0,102.0,3.0,1007099.0,1004760015.0,MN24,47.0,,-74.00451687583916,40.723584761323856,"(40.723584761323856, -74.00451687583916)",2000,24
1064,2065578-1-DCA,Business,12/31/2023,Active,02/01/2018,Tobacco Retail Dealer,UNIQUE DELI AND GROCERY CORP.,,541,MARCY AVE,,BROOKLYN,NY,11206,347-323-1940,Brooklyn,3.0,303.0,36.0,3048512.0,3017430006.0,BK75,257.0,,-73.94945809293338,40.69667507792343,"(40.69667507792343, -73.94945809293338)",2018,6
1065,1451929-DCA,Business,12/31/2023,Active,12/14/2012,Tobacco Retail Dealer,"U.S. LANKA, INC.",,17516,HILLSIDE AVE,,JAMAICA,NY,11432,718-657-0633,Queens,4.0,412.0,27.0,4210391.0,4098340014.0,QN61,462.0,,-73.7874410416753,40.71183866102488,"(40.71183866102488, -73.7874410416753)",2012,12
1066,2032544-1-DCA,Business,12/31/2023,Active,01/20/2016,Tobacco Retail Dealer,LD DISCOUNT OUTLET INC,RICHMOND DISCOUNT STORE,1430,RICHMOND AVE,,STATEN ISLAND,NY,10314,7189833870,Staten Island,5.0,502.0,50.0,5031317.0,5015940010.0,SI05,29104.0,,-74.15840971311651,40.61341290110364,"(40.613412901103636, -74.15840971311651)",2016,8
1067,1440081-DCA,Business,12/31/2023,Active,08/07/2012,Tobacco Retail Dealer,SANA NEWS INC.,,381,BROADWAY,,NEW YORK,NY,10013,347-754-9507,Manhattan,1.0,101.0,1.0,1002220.0,1001930050.0,MN24,33.0,,-74.00297973924319,40.71811999658421,"(40.71811999658421, -74.00297973924319)",2012,12
1068,1343857-DCA,Business,12/31/2023,Active,01/28/2010,Tobacco Retail Dealer,OLYMPIC THREE INC.,,5951,QUEENS MIDTOWN EXPY,,MASPETH,NY,11378,718-424-2637,Queens,4.0,402.0,30.0,4449987.0,4026560105.0,QN99,229.0,,-73.9068245264973,40.72778505611813,"(40.72778505611813, -73.9068245264973)",2010,14
1069,2066764-1-DCA,Business,12/31/2023,Active,02/23/2018,Tobacco Retail Dealer,1933 DELI GROCERY CORP,,1933,MADISON AVE,,NEW YORK,NY,10035,646-331-1745,Manhattan,1.0,111.0,9.0,1054006.0,1017490021.0,MN34,198.0,,-73.94104244330154,40.80520937053167,"(40.80520937053167, -73.94104244330154)",2018,6
1070,2047158-1-DCA,Business,12/31/2023,Active,01/06/2017,Tobacco Retail Dealer,RICHMOND HILL FOOD CORP,,12619,JAMAICA AVE,,RICHMOND HILL,NY,11418,718-849-0979,Queens,4.0,409.0,29.0,4193927.0,4092800030.0,QN54,14201.0,,-73.82453186466122,40.701256955865375,"(40.701256955865375, -73.82453186466122)",2017,7
1071,2109740-1-DCA,Business,12/31/2023,Active,11/10/2022,Tobacco Retail Dealer,JUSBELINDA GROCERY CORP,,10544,OTIS AVE,,CORONA,NY,11368,9179394744,Queens,4.0,404.0,21.0,4048227.0,4019590009.0,,,,-73.8547544089225,40.73939636847743,"(40.73939636847743, -73.8547544089225)",2022,2
1072,2103799-1-DCA,Business,12/31/2023,Active,02/04/2022,Tobacco Retail Dealer,KINGS DELI & CONVENIENCE INC,,319,E HOUSTON ST,,NEW YORK,NY,10002,3476138864,Manhattan,1.0,103.0,2.0,1004135.0,1003450011.0,,,,-73.98308761698539,40.721033727338096,"(40.721033727338096, -73.98308761698539)",2022,2
1073,2103798-1-DCA,Business,12/31/2023,Active,02/04/2022,Tobacco Retail Dealer,MARESS EXPRESS DELI GROCERY CORP,,2952,AVENUE X,,BROOKLYN,NY,11235,3478457393,Brooklyn,3.0,315.0,48.0,3327535.0,3074220002.0,,,,-73.93969510248834,40.59390838467843,"(40.59390838467843, -73.93969510248834)",2022,2
1074,2103827-1-DCA,Business,12/31/2023,Active,02/07/2022,Tobacco Retail Dealer,444 MANOR CONVENIENCE CORP,MANOR DELI & CONVENIENCE,444,MANOR RD,,STATEN ISLAND,NY,10314,3472162188,Staten Island,5.0,501.0,50.0,5010446.0,5003700073.0,,,,-74.12359763225083,40.6168234692288,"(40.6168234692288, -74.12359763225083)",2022,2
1075,2065668-1-DCA,Business,12/31/2023,Active,02/05/2018,Tobacco Retail Dealer,1ST AVE. GOURMET ON 68ST INC.,1ST AVE GOURMET,1274,1ST AVE,,NEW YORK,NY,10065,212-472-8480,Manhattan,1.0,108.0,5.0,1045580.0,1014630048.0,MN31,116.0,,-73.95762940908126,40.765552516582495,"(40.765552516582495, -73.95762940908126)",2018,6
1076,1068753-DCA,Business,12/31/2023,Active,12/27/2000,Tobacco Retail Dealer,"ANDY'S 418 COLUMBUS AVENUE DELI, INC.",,418,COLUMBUS AVE,,NEW YORK,NY,10024,212-799-3355,Manhattan,1.0,107.0,6.0,1031975.0,1012110029.0,MN12,165.0,,-73.97492568276783,40.78272591558945,"(40.78272591558945, -73.97492568276783)",2000,24
1077,2095795-1-DCA,Business,12/31/2023,Active,06/05/2020,Tobacco Retail Dealer,AMSTERDAM AUTO CENTER INC,,2161,AMSTERDAM AVE,,NEW YORK,NY,10032,7188644011,Manhattan,1.0,112.0,10.0,1062663.0,1021110088.0,,,,-73.93746708723197,40.83909377194011,"(40.83909377194011, -73.93746708723197)",2020,4
1078,2036247-1-DCA,Business,12/31/2023,Active,04/18/2016,Tobacco Retail Dealer,2505 HARLEM GOURMET DELI CORP,,2505,ADAM CLAYTON POWELL JR BLVD,,NEW YORK,NY,10039,646-952-4152,Manhattan,1.0,110.0,9.0,1060177.0,1020140003.0,MN03,232.0,,-73.93891768546487,40.82183853269659,"(40.82183853269659, -73.93891768546487)",2016,8
1079,2043622-1-DCA,Business,12/31/2023,Active,09/13/2016,Tobacco Retail Dealer,OLIVE OASIS DELI CAFE CORP,,1869,2ND AVE,,NEW YORK,NY,10029,917-539-0567,Manhattan,1.0,111.0,5.0,1052377.0,1016460023.0,MN33,15602.0,,-73.94693958078261,40.784445610917615,"(40.784445610917615, -73.94693958078261)",2016,8
1080,2065874-1-DCA,Business,12/31/2023,Active,02/08/2018,Tobacco Retail Dealer,"FORDHAM AV PETROLEUM, INC",,296,W FORDHAM RD,,BRONX,NY,10468,718-851-7841,Bronx,2.0,207.0,14.0,2015072.0,2032330065.0,BX36,257.0,,-73.91201990670717,40.86175117875907,"(40.86175117875907, -73.91201990670717)",2018,6
1081,2012489-1-DCA,Business,12/31/2023,Active,08/26/2014,Tobacco Retail Dealer,RAMIREZ GROCERY STORE INC.,,10870,43RD AVE,,CORONA,NY,11368,718-592-4830,Queens,4.0,404.0,21.0,4049365.0,4019990029.0,QN26,401.0,,-73.85720606223158,40.74883589733811,"(40.74883589733811, -73.85720606223158)",2014,10
1082,1344751-DCA,Business,12/31/2023,Active,02/08/2010,Tobacco Retail Dealer,BRONX VIEW DELI & GROCERY INC.,,717,ALLERTON AVE,,BRONX,NY,10467,718-653-3097,Bronx,2.0,211.0,15.0,2053578.0,2045090064.0,BX07,338.0,,-73.86668839586875,40.865451479055686,"(40.865451479055686, -73.86668839586875)",2010,14
1083,2066702-1-DCA,Business,12/31/2023,Active,02/23/2018,Tobacco Retail Dealer,A & G DELI GROCERY III CORP,,948,E 163RD ST,,BRONX,NY,10459,347-963-9749,Bronx,2.0,202.0,17.0,2005453.0,2027030018.0,BX33,87.0,,-73.8960320363624,40.82098442446523,"(40.82098442446523, -73.8960320363624)",2018,6
1084,1429155-DCA,Business,12/31/2023,Active,05/21/2012,Tobacco Retail Dealer,EASTERN ISLAND INC.,,1463,EASTERN PKWY,,BROOKLYN,NY,11233,646-330-2008,Brooklyn,3.0,316.0,41.0,3039518.0,3014740001.0,BK79,361.0,,-73.91962715409417,40.66962483981117,"(40.66962483981117, -73.91962715409417)",2012,12
1085,2112731-2-DCA,Business,12/31/2024,Active,04/24/2023,Tobacco Retail Dealer,D&J GROCERY SPANISH FOOD INC,,927,GRAND ST,,BROOKLYN,NY,11211,3476653081,Brooklyn,3.0,301.0,34.0,3070485.0,3029240056.0,,,,-73.93688210356632,40.71287945225426,"(40.71287945225426, -73.93688210356632)",2023,1
1086,1355641-DCA,Business,12/31/2023,Active,05/24/2010,Tobacco Retail Dealer,3 SISTERS DELI GROCERY NY CORP.,,269,DUMONT AVE,,BROOKLYN,NY,11212,718-495-7062,Brooklyn,3.0,316.0,41.0,3081792.0,3035600048.0,BK81,924.0,,-73.90956645490493,40.66406468331958,"(40.66406468331958, -73.90956645490493)",2010,14
1087,1174027-DCA,Business,12/31/2023,Active,07/16/2004,Tobacco Retail Dealer,"NOR-CROSS SERVICE STATION, INC.",,1755,FRANCIS LEWIS BLVD,,WHITESTONE,NY,11357,718-746-6343,Queens,4.0,407.0,19.0,4107652.0,4047470031.0,QN49,1029.0,,-73.80394890328664,40.78236974842216,"(40.78236974842216, -73.80394890328664)",2004,20
1088,1108825-DCA,Business,12/31/2023,Active,04/18/2006,Tobacco Retail Dealer,J & J CATERERS INC,C & C ITALIAN DELI,14919,CENTREVILLE ST,,OZONE PARK,NY,11417,718-641-4585,Queens,4.0,410.0,32.0,4248883.0,4115520062.0,QN56,88.0,,-73.83824928742926,40.670785336052845,"(40.670785336052845, -73.83824928742926)",2006,18
1089,1347483-DCA,Business,12/31/2023,Active,03/17/2010,Tobacco Retail Dealer,"E A E EATERY ETC, INC",,5502,48TH ST,,MASPETH,NY,11378,718-472-0808,Queens,4.0,402.0,30.0,4312048.0,4025460068.0,QN31,205.0,,-73.91943633493109,40.7291175438049,"(40.7291175438049, -73.91943633493109)",2010,14
1090,2096985-1-DCA,Business,12/31/2023,Active,11/19/2020,Tobacco Retail Dealer,AUSTIN DELI & GROCERY INC,,6725,AUSTIN ST,,FOREST HILLS,NY,11375,7188978400,Queens,4.0,406.0,29.0,4075078.0,4031680001.0,,,,-73.85469822331824,40.723792345220026,"(40.723792345220026, -73.85469822331824)",2020,4
1091,1051017-DCA,Business,12/31/2023,Active,03/04/2010,Tobacco Retail Dealer,"PATINO, CRISTINO",LOS PRIMOS GROCERY,57,SUTTER AVE,,BROOKLYN,NY,11212,718-756-1789,Brooklyn,3.0,316.0,41.0,3080851.0,3035100076.0,BK81,900.0,,-73.92058720606265,40.665612640469234,"(40.665612640469234, -73.92058720606265)",2010,14
1092,2069341-1-DCA,Business,12/31/2023,Active,04/12/2018,Tobacco Retail Dealer,KING 3 DELI GROCERY CORP,,4918,NEW UTRECHT AVE,,BROOKLYN,NY,11219,718-851-1828,Brooklyn,3.0,312.0,44.0,3137676.0,3056400041.0,BK88,220.0,,-73.99477202661164,40.636386039377214,"(40.636386039377214, -73.99477202661164)",2018,6
1093,1153009-DCA,Business,12/31/2023,Active,10/01/2003,Tobacco Retail Dealer,"PAK, CHUN",7-ELEVEN,2702,KNAPP ST,,BROOKLYN,NY,11235,718-648-8035,Brooklyn,3.0,315.0,48.0,3247916.0,3088060006.0,BK17,598.0,,-73.93172936433403,40.5877830228535,"(40.5877830228535, -73.93172936433403)",2003,21
1094,1435821-DCA,Business,12/31/2023,Active,06/27/2012,Tobacco Retail Dealer,BRANDY LIBRARY LOUNGE LLC,,25,N MOORE ST,,NEW YORK,NY,10013,212-226-5545,Manhattan,1.0,101.0,1.0,1002160.0,1001907505.0,MN24,33.0,,-74.00740264322509,40.719846250882014,"(40.719846250882014, -74.00740264322509)",2012,12
